Covered      Range       Script
   0.0%  U+1C50..U+1C7F  Ol Chiki

   0.0%  U+1C80..U+1C8F  Cyrillic Extended - C

   0.0%  U+1C90..U+1CBF  Unassigned

   0.0%  U+1CC0..U+1CCF  Sundanese Supplement

   0.0%  U+1CD0..U+1CFF  Vedic Extensions

   0.0%  U+1D00..U+1D7F  Phonetic Extensions

   0.0%  U+1D80..U+1DBF  Phonetic Extensions Supplement

   0.0%  U+1DC0..U+1DFF  Combining Diacritical Marks Supplement

   0.0%  U+1E00..U+1EFF  Latin Extended Additional

   0.0%  U+1F00..U+1FFF  Greek Extended

   0.0%  U+2000..U+206F  General Punctuation

   0.0%  U+2070..U+209F  Superscripts and Subscripts

   0.0%  U+20A0..U+20CF  Currency Symbols

   0.0%  U+20D0..U+20FF  Combining Diacritical Marks for Symbols

   0.0%  U+2100..U+214F  Letterlike Symbols

   0.0%  U+2150..U+218F  Number Forms

   0.0%  U+2190..U+21FF  Arrows

   0.0%  U+2200..U+22FF  Mathematical Operators

   0.0%  U+2300..U+23FF  Miscellaneous Technical

   0.0%  U+2400..U+243F  Control Pictures

   0.0%  U+2440..U+245F  Optical Character Recognition

   0.0%  U+2460..U+24FF  Enclosed Alphanumerics

   0.0%  U+2500..U+257F  Box Drawing

   0.0%  U+2580..U+259F  Block Elements

   0.0%  U+25A0..U+25FF  Geometric Shapes

   0.0%  U+2600..U+26FF  Miscellaneous Symbols

   0.0%  U+2700..U+27BF  Dingbats

   0.0%  U+27C0..U+27EF  Miscellaneous Mathematical Symbols - A

   0.0%  U+27F0..U+27FF  Supplemental Arrows - A

   0.0%  U+2800..U+28FF  Braille Patterns

   0.0%  U+2900..U+297F  Supplemental Arrows - B

   0.0%  U+2980..U+29FF  Miscellaneous Mathematical Symbols - B

   0.0%  U+2A00..U+2AFF  Supplemental Mathematical Operators

   0.0%  U+2B00..U+2BFF  Miscellaneous Symbols and Arrows

   0.0%  U+2C00..U+2C5F  Glagolitic

   0.0%  U+2C60..U+2C7F  Latin Extended - C

   0.0%  U+2C80..U+2CFF  Coptic

   0.0%  U+2D00..U+2D2F  Georgian Supplement

   0.0%  U+2D30..U+2D7F  Tifinagh

   0.0%  U+2D80..U+2DDF  Ethiopic Extended

   0.0%  U+2DE0..U+2DFF  Cyrillic Extended - A

   0.0%  U+2E00..U+2E7F  Supplemental Punctuation

   0.0%  U+2E80..U+2EFF  CJK Radicals Supplement

   0.0%  U+2F00..U+2FDF  Kangxi Radicals

   0.0%  U+2FE0..U+2FEF  Unassigned

   0.0%  U+2FF0..U+2FFF  Ideographic Description Characters

   0.0%  U+3000..U+303F  CJK Symbols and Punctuation

   0.0%  U+3040..U+309F  Hiragana

   0.0%  U+30A0..U+30FF  Katakana

   0.0%  U+3100..U+312F  Bopomofo

   0.0%  U+3130..U+318F  Hangul Compatibility Jamo

   0.0%  U+3190..U+319F  Kanbun

   0.0%  U+31A0..U+31BF  Bopomofo Extended

   0.0%  U+31C0..U+31EF  CJK Strokes

   0.0%  U+31F0..U+31FF  Katakana Phonetic Extensions

   0.0%  U+3200..U+32FF  Enclosed CJK Letters and Months

   0.0%  U+3300..U+33FF  CJK Compatibility

   0.0%  U+3400..U+4DBF  CJK Unified Ideographs Extension A

   0.0%  U+4DC0..U+4DFF  Yijing Hexagram Symbols

   0.0%  U+4E00..U+9FCF  CJK Unified Ideographs

   0.0%  U+9FD0..U+9FFF  Unassigned

   0.0%  U+A000..U+A48F  Yi Syllables

   0.0%  U+A490..U+A4CF  Yi Radicals

   0.0%  U+A4D0..U+A4FF  Lisu

   0.0%  U+A500..U+A63F  Vai

   0.0%  U+A640..U+A69F  Cyrillic Extended - B

   0.0%  U+A6A0..U+A6FF  Bamum

   0.0%  U+A700..U+A71F  Modifier Tone Letters

   0.0%  U+A720..U+A7FF  Latin Extended - D

   0.0%  U+A800..U+A82F  Syloti Nagri

   0.0%  U+A830..U+A83F  Common Indic Number Forms

   0.0%  U+A840..U+A87F  Phags-pa

   0.0%  U+A880..U+A8DF  Saurashtra

   0.0%  U+A8E0..U+A8FF  Devanagari Extended

   0.0%  U+A900..U+A92F  Kayah Li

   0.0%  U+A930..U+A95F  Rejang

   0.0%  U+A960..U+A97F  Hangul Jamo Extended - A

   0.0%  U+A980..U+A9DF  Javanese

   0.0%  U+A9E0..U+A9FF  Myanmar Extended - B

   0.0%  U+AA00..U+AA5F  Cham

   0.0%  U+AA60..U+AA7F  Myanmar Extended - A

   0.0%  U+AA80..U+AADF  Tai Viet

   0.0%  U+AAE0..U+AAFF  Meetei Mayek Extensions

   0.0%  U+AB00..U+AB2F  Ethiopic Extended - A

   0.0%  U+AB30..U+AB6F  Latin Extended - E

   0.0%  U+AB70..U+ABBF  Cherokee Supplement

   0.0%  U+ABC0..U+ABFF  Meetei Mayek

   0.0%  U+AC00..U+D7AF  Hangul Syllables

   0.0%  U+D7B0..U+D7FF  Hangul Jamo Extended - B

   0.0%  U+D800..U+DFFF  Surrogate Pairs - Not Used

   0.0%  U+E000..U+F8FF  Private Use Area

   0.0%  U+F900..U+FAFF  CJK Compatibility Ideographs

   0.0%  U+FB00..U+FB4F  Alphabetic Presentation Forms

   4.7%  U+FB50..U+FDFF  Arabic Presentation Forms - A

   0.0%  U+FE00..U+FE0F  Variation Selectors

   0.0%  U+FE10..U+FE1F  Vertical Forms

   0.0%  U+FE20..U+FE2F  Combining Half Marks

   0.0%  U+FE30..U+FE4F  CJK Compatibility Forms

   0.0%  U+FE50..U+FE6F  Small Form Variants

   0.0%  U+FE70..U+FEFF  Arabic Presentation Forms - B

   0.0%  U+FF00..U+FFEF  Halfwidth and Fullwidth Forms

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

  12.5%  U+FFF0..U+FFFF  Specials

